lower_ci,upper_ci,method,n,iter
0.851,1.342,trad,1000,79
0.5682218073033434,1.6254993114392138,robust,1000,79
-2.124,8.237,trad,10,80
-2.889128984002956,9.0016110000001,robust,10,80
0.681,2.143,trad,100,80
0.1683593851027423,2.6557146115724484,robust,100,80
0.751,1.17,trad,1000,80
0.5912565196800583,1.3297758619761555,robust,1000,80
-0.234,1.668,trad,10,81
0.10193507863329476,1.332720517188497,robust,10,81
0.148,1.671,trad,100,81
-0.131351925835684,1.9504625172925336,robust,100,81
0.77,1.206,trad,1000,81
0.6415831698641059,1.3350060986210872,robust,1000,81
-0.972,3.411,trad,10,82
-0.5280366762759983,2.966460987885177,robust,10,82
-0.559,0.676,trad,100,82
-1.1555933062641441,1.2729263169714955,robust,100,82
0.844,1.2,trad,1000,82
0.7352071739332845,1.3092045664132947,robust,1000,82
0.299,2.78,trad,10,83
0.1647751987446704,2.913462292276437,robust,10,83
0.27,1.536,trad,100,83
-0.0730587294482552,1.8793116737455862,robust,100,83
0.578,0.985,trad,1000,83
0.4295411655595448,1.1335448411646714,robust,1000,83
0.642,5.229,trad,10,84
0.7749128137759356,5.096256005219216,robust,10,84
-1.012,0.91,trad,100,84
-1.7042247533784038,1.6018727736810587,robust,100,84
0.673,1.154,trad,1000,84
0.4449042491277038,1.3815361763385592,robust,1000,84
-4.19,2.396,trad,10,85
-3.5290111054984568,1.7359782715666714,robust,10,85
0.507,1.777,trad,100,85
0.23970076955285002,2.0441536005036576,robust,100,85
1.003,1.423,trad,1000,85
0.8622629733423645,1.5630752177072669,robust,1000,85
0.118,7.886,trad,10,86
0.07452138201376579,7.929819238560089,robust,10,86
0.091,1.181,trad,100,86
-0.1021695759497131,1.3744051229013592,robust,100,86
0.841,1.485,trad,1000,86
0.21047468198386377,2.1157375737841115,robust,1000,86
-1.792,1.261,trad,10,87
-1.5864548776392335,1.055110688936061,robust,10,87
0.66,1.892,trad,100,87
0.38807350588648704,2.1634293129293125,robust,100,87
0.502,0.989,trad,1000,87
0.18918194730122795,1.3021787833353653,robust,1000,87
-0.018,1.944,trad,10,88
0.39032541826852307,1.5357718432223675,robust,10,88
0.291,1.088,trad,100,88
0.09173347579595803,1.2866479002791296,robust,100,88
0.811,1.265,trad,1000,88
0.5915594072182822,1.4842261123709417,robust,1000,88
0.375,2.332,trad,10,89
0.6248792815644469,2.0822165978957963,robust,10,89
-0.623,0.881,trad,100,89
-1.3976056064696702,1.6555909132583457,robust,100,89
0.899,1.251,trad,1000,89
0.8077017627815295,1.3419366855605264,robust,1000,89
-3.445,1.636,trad,10,90
-3.4573171201643946,1.647950775438092,robust,10,90
0.128,1.293,trad,100,90
-0.1717551748642776,1.5932651231928932,robust,100,90
1.08,1.531,trad,1000,90
0.90423056979859,1.706524338239286,robust,1000,90
-0.442,3.672,trad,10,91
0.30269002336173556,2.9271374898888043,robust,10,91
0.472,1.544,trad,100,91
0.1660694263333442,1.8506897282979928,robust,100,91
0.465,0.882,trad,1000,91
0.3199792493448238,1.0271770745088045,robust,1000,91
-1.862,2.392,trad,10,92
-1.2977675407529254,1.8281123719598953,robust,10,92
1.338,2.389,trad,100,92
0.9338905770210416,2.7933307406050996,robust,100,92
0.732,1.165,trad,1000,92
0.5851931879831482,1.3122369154561286,robust,1000,92
1.006,2.053,trad,10,93
1.091568408469399,1.96714009287857,robust,10,93
0.547,1.794,trad,100,93
0.2666392323827629,2.0744772723451383,robust,100,93
0.923,1.312,trad,1000,93
